start_lat,start_long,end_lat,end_long,is_premium,call_time,user_id
36.6009,126.665,37.1759,128.9889,0,2024-05-06 09:15:16,1000778
37.1759,128.9889,36.82167,128.63083,1,2024-05-21 09:25:08,1000130
36.6009,126.665,37.1759,128.9889,1,2024-05-01 12:34:22,1000938
37.1759,128.9889,36.20389,127.08472,1,2024-05-03 19:43:17,1000517
37.65639,126.835,37.1759,128.9889,1,2024-05-03 07:26:26,1000128
36.82167,128.63083,36.6009,126.665,0,2024-05-05 04:42:21,1000556
37.1759,128.9889,36.6009,126.665,0,2024-05-20 06:46:23,1000146
37.1759,128.9889,37.1759,128.9889,0,2024-05-10 05:51:53,1000242
36.20389,127.08472,37.1759,128.9889,0,2024-05-07 10:56:38,1000325
34.8825,128.62667,37.1759,128.9889,0,2024-05-14 19:07:01,1000097
34.8825,128.62667,36.82167,128.63083,1,2024-04-26 17:41:02,1000483
37.65639,126.835,36.20389,127.08472,1,2024-05-03 16:48:39,1000848
36.20389,127.08472,36.20389,127.08472,0,2024-05-01 19:12:38,1000680
36.20389,127.08472,34.8825,128.62667,0,2024-05-01 20:44:55,1000310
34.8825,128.62667,34.8825,128.62667,1,2024-05-06 13:16:41,1000665
34.8825,128.62667,37.65639,126.835,1,2024-05-10 06:40:37,1000425
37.1759,128.9889,34.8825,128.62667,1,2024-04-27 06:42:11,1000721
37.1759,128.9889,36.6009,126.665,0,2024-04-27 01:08:31,1000572
36.6009,126.665,37.65639,126.835,1,2024-04-25 17:52:09,1000923
36.6009,126.665,37.1759,128.9889,1,2024-04-27 05:20:58,1000639
36.82167,128.63083,34.8825,128.62667,0,2024-05-02 21:26:56,1000244
36.20389,127.08472,37.1759,128.9889,0,2024-05-12 15:43:01,1000762
36.6009,126.665,36.82167,128.63083,1,2024-05-09 22:56:15,1000589
36.20389,127.08472,37.1759,128.9889,1,2024-04-27 18:28:36,1000863
37.65639,126.835,34.8825,128.62667,0,2024-05-03 02:33:16,1000330
36.6009,126.665,37.1759,128.9889,0,2024-05-05 15:50:25,1000960
37.65639,126.835,36.20389,127.08472,1,2024-05-18 08:00:36,1000021
37.65639,126.835,36.20389,127.08472,1,2024-05-02 20:06:15,1000977
34.8825,128.62667,34.8825,128.62667,1,2024-05-04 13:16:02,1000687
36.20389,127.08472,37.65639,126.835,1,2024-05-11 18:02:57,1000798
36.20389,127.08472,37.65639,126.835,0,2024-05-08 01:16:05,1000141
36.20389,127.08472,36.6009,126.665,0,2024-04-30 11:32:17,1000223
37.1759,128.9889,36.20389,127.08472,0,2024-05-20 10:16:08,1000324
37.65639,126.835,37.1759,128.9889,1,2024-05-12 00:29:24,1000067
37.65639,126.835,36.6009,126.665,0,2024-04-29 00:25:09,1000385
36.20389,127.08472,36.82167,128.63083,1,2024-05-13 00:06:17,1000708
36.20389,127.08472,36.6009,126.665,0,2024-05-11 10:54:32,1000018
36.20389,127.08472,36.20389,127.08472,1,2024-04-25 02:58:36,1000394
36.20389,127.08472,36.82167,128.63083,0,2024-04-24 21:05:10,1000776
36.6009,126.665,37.1759,128.9889,0,2024-05-06 23:55:33,1000057
36.82167,128.63083,37.65639,126.835,1,2024-05-22 03:24:22,1000123
37.65639,126.835,34.8825,128.62667,0,2024-05-14 23:26:45,1000432
36.6009,126.665,36.82167,128.63083,1,2024-05-20 09:50:13,1000324
37.65639,126.835,36.82167,128.63083,1,2024-05-20 07:30:19,1000316
37.65639,126.835,34.8825,128.62667,1,2024-04-30 03:28:12,1000166
36.6009,126.665,37.1759,128.9889,0,2024-05-04 20:15:20,1000750
34.8825,128.62667,37.1759,128.9889,1,2024-05-01 08:48:09,1000557
36.82167,128.63083,36.20389,127.08472,0,2024-05-20 11:32:05,1000909
36.20389,127.08472,37.1759,128.9889,1,2024-05-23 10:46:43,1000586
34.8825,128.62667,34.8825,128.62667,1,2024-04-26 04:55:35,1000692
34.8825,128.62667,34.8825,128.62667,1,2024-04-26 10:32:53,1000935
34.8825,128.62667,36.6009,126.665,1,2024-04-24 13:26:26,1000811
37.65639,126.835,34.8825,128.62667,1,2024-05-13 22:25:01,1000289
37.1759,128.9889,36.20389,127.08472,0,2024-04-29 16:58:14,1000094
36.6009,126.665,34.8825,128.62667,1,2024-05-12 13:03:42,1000367
36.6009,126.665,37.1759,128.9889,0,2024-05-08 14:03:06,1000826
36.20389,127.08472,34.8825,128.62667,1,2024-04-24 19:40:30,1000373
34.8825,128.62667,36.20389,127.08472,1,2024-04-26 01:45:57,1000418
37.65639,126.835,36.82167,128.63083,1,2024-05-10 11:20:13,1000596
36.82167,128.63083,36.20389,127.08472,1,2024-04-28 23:59:49,1000178
37.1759,128.9889,36.6009,126.665,1,2024-05-01 04:47:37,1000355
37.65639,126.835,37.65639,126.835,0,2024-05-10 22:43:24,1000648
37.65639,126.835,36.82167,128.63083,0,2024-04-25 11:57:39,1000627
36.6009,126.665,37.65639,126.835,1,2024-04-23 23:01:58,1000573
34.8825,128.62667,36.6009,126.665,0,2024-05-01 19:02:41,1000601
34.8825,128.62667,36.82167,128.63083,0,2024-05-07 09:13:31,1000979
36.6009,126.665,36.82167,128.63083,0,2024-05-06 14:34:30,1000015
34.8825,128.62667,36.6009,126.665,1,2024-05-02 10:12:40,1000077
36.20389,127.08472,34.8825,128.62667,0,2024-05-23 07:52:46,1000253
36.82167,128.63083,34.8825,128.62667,1,2024-05-07 05:56:19,1000079
36.20389,127.08472,36.20389,127.08472,0,2024-05-23 13:06:58,1000351
37.65639,126.835,36.6009,126.665,0,2024-05-15 21:53:11,1000867
34.8825,128.62667,36.82167,128.63083,1,2024-04-28 11:20:46,1000669
37.1759,128.9889,36.20389,127.08472,0,2024-05-13 02:01:12,1000400
37.65639,126.835,36.20389,127.08472,1,2024-04-28 10:01:25,1000532
37.65639,126.835,37.65639,126.835,1,2024-05-15 15:59:00,1000417
36.82167,128.63083,34.8825,128.62667,1,2024-04-25 09:12:55,1000430
34.8825,128.62667,37.65639,126.835,0,2024-05-15 01:51:46,1000474
37.1759,128.9889,37.65639,126.835,1,2024-04-26 18:09:04,1000728
36.6009,126.665,37.65639,126.835,1,2024-05-17 05:18:40,1000985
37.65639,126.835,36.6009,126.665,1,2024-05-13 03:33:28,1000033
36.82167,128.63083,37.65639,126.835,0,2024-05-09 22:00:51,1000984
37.65639,126.835,36.20389,127.08472,1,2024-05-08 22:33:08,1000972
36.82167,128.63083,37.1759,128.9889,1,2024-05-15 15:20:06,1000196
37.65639,126.835,36.20389,127.08472,1,2024-05-04 10:45:38,1000823
34.8825,128.62667,36.82167,128.63083,1,2024-05-04 09:42:41,1000157
36.82167,128.63083,36.82167,128.63083,1,2024-05-14 23:41:25,1000858
36.20389,127.08472,36.82167,128.63083,0,2024-05-19 19:59:48,1000162
37.65639,126.835,37.1759,128.9889,0,2024-04-28 08:37:54,1000391
36.6009,126.665,37.1759,128.9889,1,2024-05-04 08:52:01,1000362
37.1759,128.9889,37.65639,126.835,0,2024-05-08 14:06:42,1000003
36.6009,126.665,36.6009,126.665,0,2024-05-04 01:43:15,1000992
37.65639,126.835,36.82167,128.63083,0,2024-05-08 22:11:43,1000631
36.20389,127.08472,36.82167,128.63083,0,2024-05-01 16:44:17,1000531
37.65639,126.835,37.1759,128.9889,1,2024-04-28 11:28:39,1000178
36.20389,127.08472,34.8825,128.62667,1,2024-05-14 08:22:47,1000706
36.6009,126.665,36.20389,127.08472,0,2024-05-09 10:31:35,1000557
37.65639,126.835,34.8825,128.62667,1,2024-05-03 11:18:22,1000731
37.1759,128.9889,36.6009,126.665,0,2024-04-25 14:28:38,1000050
36.82167,128.63083,36.20389,127.08472,1,2024-05-12 10:16:59,1000431
36.20389,127.08472,36.20389,127.08472,0,2024-05-22 18:41:27,1000339
36.82167,128.63083,36.82167,128.63083,0,2024-05-20 19:51:36,1000490
36.20389,127.08472,36.6009,126.665,1,2024-05-15 22:15:24,1000518
36.82167,128.63083,36.82167,128.63083,0,2024-05-08 00:47:11,1000138
34.8825,128.62667,36.6009,126.665,1,2024-05-17 06:02:43,1000237
36.20389,127.08472,36.82167,128.63083,0,2024-04-28 03:11:01,1000232
36.6009,126.665,36.20389,127.08472,1,2024-05-18 19:36:07,1000848
36.20389,127.08472,37.65639,126.835,1,2024-05-04 10:38:08,1000628
36.6009,126.665,34.8825,128.62667,0,2024-05-18 00:47:21,1000257
36.82167,128.63083,34.8825,128.62667,1,2024-04-29 17:12:51,1000717
34.8825,128.62667,36.20389,127.08472,1,2024-05-21 01:27:44,1000438
36.82167,128.63083,34.8825,128.62667,1,2024-05-15 06:28:26,1000725
37.65639,126.835,34.8825,128.62667,0,2024-05-05 13:58:54,1000944
37.1759,128.9889,36.82167,128.63083,0,2024-05-03 10:08:51,1000949
36.20389,127.08472,36.82167,128.63083,0,2024-04-25 05:39:42,1000421
36.20389,127.08472,36.20389,127.08472,0,2024-04-24 16:35:13,1000643
37.65639,126.835,37.65639,126.835,0,2024-05-04 05:34:21,1000037
37.65639,126.835,36.6009,126.665,0,2024-05-15 17:55:21,1000715
37.65639,126.835,36.82167,128.63083,1,2024-05-13 01:27:32,1000256
36.20389,127.08472,36.6009,126.665,1,2024-05-11 10:09:47,1000269
36.20389,127.08472,37.65639,126.835,0,2024-05-08 15:01:30,1000430
36.82167,128.63083,36.6009,126.665,0,2024-05-07 22:04:06,1000103
36.82167,128.63083,37.65639,126.835,0,2024-05-22 20:57:15,1000737
36.20389,127.08472,34.8825,128.62667,0,2024-05-05 04:46:02,1000649
37.65639,126.835,37.1759,128.9889,0,2024-05-17 18:29:24,1000463
37.1759,128.9889,36.6009,126.665,1,2024-05-12 20:11:22,1000599
36.6009,126.665,37.1759,128.9889,1,2024-05-05 07:18:19,1000946
37.65639,126.835,37.65639,126.835,1,2024-05-14 13:22:29,1000330
37.1759,128.9889,36.82167,128.63083,1,2024-05-19 19:56:20,1000901
37.1759,128.9889,34.8825,128.62667,0,2024-05-18 03:43:37,1000506
34.8825,128.62667,34.8825,128.62667,1,2024-05-18 05:35:51,1000178
34.8825,128.62667,37.65639,126.835,1,2024-05-23 06:58:09,1000846
36.82167,128.63083,37.65639,126.835,1,2024-05-03 07:49:49,1000009
36.82167,128.63083,36.6009,126.665,1,2024-05-20 06:28:19,1000229
36.20389,127.08472,34.8825,128.62667,1,2024-05-01 10:17:52,1000227
36.6009,126.665,36.20389,127.08472,1,2024-05-06 03:27:00,1000197
36.82167,128.63083,36.20389,127.08472,0,2024-05-08 02:40:21,1000830
36.82167,128.63083,36.82167,128.63083,0,2024-05-08 01:12:48,1000603
34.8825,128.62667,34.8825,128.62667,1,2024-05-10 17:05:32,1000951
36.82167,128.63083,36.6009,126.665,1,2024-04-24 18:44:17,1000282
36.20389,127.08472,34.8825,128.62667,1,2024-05-19 08:11:40,1000297
36.6009,126.665,36.82167,128.63083,1,2024-05-21 20:58:19,1000120
37.65639,126.835,37.65639,126.835,0,2024-05-03 15:18:09,1000304
36.6009,126.665,36.82167,128.63083,0,2024-05-19 07:40:21,1000511
36.82167,128.63083,36.82167,128.63083,0,2024-05-05 07:50:36,1000548
36.20389,127.08472,36.20389,127.08472,1,2024-05-15 00:18:27,1000665
36.20389,127.08472,36.82167,128.63083,0,2024-05-09 23:41:12,1000290
37.1759,128.9889,34.8825,128.62667,1,2024-05-16 20:57:08,1000162
36.20389,127.08472,34.8825,128.62667,0,2024-05-14 04:50:33,1000582
36.6009,126.665,36.20389,127.08472,1,2024-05-13 07:38:43,1000564
34.8825,128.62667,37.1759,128.9889,1,2024-04-29 06:20:36,1000670
36.20389,127.08472,37.65639,126.835,0,2024-05-16 17:42:34,1000221
37.65639,126.835,36.20389,127.08472,1,2024-05-12 09:18:11,1000572
37.65639,126.835,37.1759,128.9889,0,2024-05-11 17:05:54,1000813
37.65639,126.835,37.1759,128.9889,0,2024-05-18 01:42:06,1000371
36.82167,128.63083,37.65639,126.835,1,2024-05-14 09:58:38,1000313
36.6009,126.665,36.20389,127.08472,0,2024-05-22 13:44:31,1000390
36.82167,128.63083,36.6009,126.665,1,2024-05-11 18:05:50,1000545
36.82167,128.63083,37.1759,128.9889,0,2024-05-07 15:39:07,1000322
34.8825,128.62667,37.65639,126.835,0,2024-05-09 13:32:54,1000923
36.6009,126.665,37.1759,128.9889,0,2024-05-16 08:36:03,1000045
37.65639,126.835,34.8825,128.62667,0,2024-05-02 01:58:11,1000627
37.65639,126.835,36.20389,127.08472,0,2024-05-10 15:56:06,1000885
36.82167,128.63083,37.1759,128.9889,0,2024-05-12 14:02:52,1000925
36.6009,126.665,34.8825,128.62667,0,2024-05-20 11:59:34,1000057
36.82167,128.63083,37.1759,128.9889,0,2024-05-09 12:03:38,1000659
37.65639,126.835,37.65639,126.835,1,2024-05-13 08:41:12,1000059
37.65639,126.835,36.82167,128.63083,0,2024-05-11 14:27:48,1000663
37.65639,126.835,36.6009,126.665,1,2024-04-24 23:47:32,1000573
37.1759,128.9889,34.8825,128.62667,0,2024-05-15 05:17:34,1000015
34.8825,128.62667,36.20389,127.08472,0,2024-05-14 05:21:47,1000846
37.1759,128.9889,34.8825,128.62667,1,2024-05-05 04:43:21,1000038
36.20389,127.08472,37.1759,128.9889,1,2024-05-05 23:16:49,1000829
36.6009,126.665,36.6009,126.665,0,2024-05-07 05:53:38,1000464
36.82167,128.63083,36.20389,127.08472,1,2024-05-10 10:23:53,1000659
37.65639,126.835,37.65639,126.835,0,2024-04-28 17:46:50,1000694
37.65639,126.835,36.6009,126.665,0,2024-05-21 05:34:50,1000999
34.8825,128.62667,37.1759,128.9889,0,2024-05-03 09:09:37,1000562
37.1759,128.9889,36.82167,128.63083,0,2024-05-05 10:52:23,1000825
37.65639,126.835,37.1759,128.9889,1,2024-05-07 07:43:42,1000896
36.20389,127.08472,34.8825,128.62667,1,2024-05-04 15:13:57,1000328
36.20389,127.08472,36.6009,126.665,0,2024-04-29 11:11:23,1000888
36.82167,128.63083,34.8825,128.62667,0,2024-05-15 08:05:51,1000447
36.6009,126.665,37.1759,128.9889,1,2024-05-07 19:15:44,1000608
36.20389,127.08472,36.82167,128.63083,0,2024-05-13 14:11:32,1000097
37.1759,128.9889,37.1759,128.9889,1,2024-04-27 10:09:00,1000580
37.65639,126.835,36.82167,128.63083,0,2024-04-24 16:59:21,1000869
36.20389,127.08472,37.1759,128.9889,0,2024-05-06 05:32:12,1000541
36.6009,126.665,37.65639,126.835,0,2024-04-28 05:16:29,1000435
36.6009,126.665,37.1759,128.9889,0,2024-05-15 08:49:01,1000493
37.1759,128.9889,34.8825,128.62667,0,2024-05-04 22:02:07,1000824
36.82167,128.63083,37.1759,128.9889,1,2024-05-18 04:25:21,1000922
34.8825,128.62667,37.65639,126.835,1,2024-05-09 10:59:56,1000424
36.6009,126.665,36.6009,126.665,1,2024-05-05 22:49:13,1000785
36.82167,128.63083,36.20389,127.08472,1,2024-04-29 03:56:45,1000036
36.6009,126.665,36.6009,126.665,1,2024-05-19 14:36:04,1000478
37.65639,126.835,37.1759,128.9889,0,2024-05-02 09:26:51,1000462
36.82167,128.63083,36.20389,127.08472,0,2024-04-28 03:41:15,1000637
37.65639,126.835,36.6009,126.665,0,2024-05-17 16:30:11,1000048
37.65639,126.835,34.8825,128.62667,1,2024-04-29 07:29:01,1000057
